cast_id,character,credit_id,gender,cast_id,name,order,profile_part
40,Detering,5909997b9251411cde00b6bc,2,80545,Harold Goodwin,11,/B1BTmh9aBUqzHD9ePvxabhFL0H.jpg
18,Tjaden,52fe421ec3a36847f80053cf,2,2016,Slim Summerville,12,/4EjFLKxKSUUjbRBLewRTXpfTrL1.jpg
41,Bertinck,59099b569251411ce900b37b,0,98972,G. Pat Collins,13,/imT0COfQBYrJOWp53rHbREJNLrz.jpg
20,Paul's Mother,52fe421ec3a36847f80053d7,0,2018,Beryl Mercer,14,/kd22nF2wsJ3vW8ciG61jZxokxig.jpg
42,Herr Meyer,59099b9cc3a368357100b169,2,30016,Edmund Breese,15,/nAx5VxJ1BqcZXEFnyN138F5pwbE.jpg
29,Gérard Duval,52fe421ec3a36847f8005405,2,555890,Raymond Griffith,16,/bgLKQFjdhBd3LYxIzf5JhRTZRKu.jpg
30,Suzanne (uncredited),549d3e299251415dc1004b38,0,1133401,Yola d'Avril,17,/oWIMKyeQSDNkSF1z9pimqepaPfV.jpg
31,Poster Girl (uncredited),549d3e41c3a3685542002238,1,120542,Joan Marsh,18,/kQQPJu16vjkGhpvzWfwuaSaukcn.jpg
32,German soldier / French ambulance driver (uncredited),549d3e579251415dc1004b3b,0,4065,Fred Zinnemann,19,/w29Qt8Jc7pZd6jAX3901Y2V8yxQ.jpg
19,Mrs. Bäumer (scenes deleted),52fe421ec3a36847f80053d3,1,34746,Zasu Pitts,20,/sRrLfvCrM4thChdiWU5q9B17YMi.jpg
2,Oreste Jacovacci,52fe48e1c3a36847f817e7ab,2,45982,Alberto Sordi,0,/qfrgQ551SxM2i4LMIFLX7kScUc7.jpg
3,Giovanni Busacca,52fe48e1c3a36847f817e7af,0,12259,Vittorio Gassman,1,/qjSYEX5zQuuJzRvznpFz5Xqfbvv.jpg
4,Costantina,52fe48e1c3a36847f817e7b3,1,12520,Silvana Mangano,2,/8KFcMFxQbrOkXc0do7xuu8mNuNy.jpg
5,Capitano Castelli,53c860d10e0a2664a00001e8,2,24379,Bernard Blier,3,/xjahZAVqbJYdR9YMSsGhSWwJq7w.jpg
6,Bordin,53c860f50e0a26649900017d,2,2568,Folco Lulli,4,/i7uDlluojzLLbd8BkRrqvIG9Whb.jpg
7,Tenente Gallina,53c8617e0e0a2664930001cf,2,5567,Romolo Valli,5,/nTU1Jfsx0W6koCdMrC5qkgL3tth.jpg
8,Maggiore Venturi,53c861a10e0a26649000018a,2,103777,Vittorio Sanipoli,6,/uUJlJsWbj1gLfkXmhgi6sQWPHoT.jpg
9,Giardino,53c861c90e0a2664930001d6,0,228744,Nicola Arigliano,7,
1,Nathalie,52fe46b79251416c9105d4d7,1,54227,Marie Gillain,0,/sMBpCVY5Mp5wMjFWqK3GCA270By.jpg
2,Eric,52fe46b79251416c9105d4db,2,40937,Olivier Sitruk,1,/aPvbP6WtW4CGvhasHwTGIslmpaf.jpg
3,Bruno,52fe46b79251416c9105d4df,2,120385,Bruno Putzulu,2,/74KkRSQBm8DhukadLwM5ghIWJow.jpg
4,Alain,52fe46b79251416c9105d4e3,2,35896,Richard Berry,3,/5StfjUYCE89Jpi4qjALDguXl3CQ.jpg
5,Antoine,52fe46b79251416c9105d4e7,2,64645,Philippe Duclos,4,/hygqMpbiA62FFZokv71VNNcdd4y.jpg
6,Karine,52fe46b79251416c9105d4eb,1,120386,Marie Ravel,5,/kIZ5va1nHdd2EJfrlj6sbDChU13.jpg
7,Patricia,52fe46b79251416c9105d4ef,1,16921,Clotilde Courau,6,/htHGCsyHZ7zMyjmpSsiKmfdp21Z.jpg
8,Philippe,52fe46b79251416c9105d4f3,2,3560,Alain Sarde,7,/95fgX9tAqahF98DG4FutHpLjbEi.jpg
9,Jean-Pierre,52fe46b79251416c9105d4f7,2,2197,Daniel Russo,8,/1Sz6VtbwiMdEI46iA4pmz3CIXtY.jpg
14,Waiter,57aa42c69251412474000361,2,1295250,Laurent Klug,9,/qNDswKQRlLEIR1sAMH9dMMHvUkQ.jpg
1,Nahum Witley,52fe45c5c3a368484e06df19,0,2922,Boris Karloff,0,/3kY1eEgGFAoVyy8MjNolCS5wouj.jpg
2,Stephen Reinhart,52fe45c5c3a368484e06df1d,2,2787,Nick Adams,1,/wtA4pLwHxAROYry4MPq0eLWZ9Cd.jpg
3,Letitia Witley,52fe45c5c3a368484e06df21,1,39002,Freda Jackson,2,/gG8SceSfYUiq3j4WIiJhsn6p6UL.jpg
4,Susan Witley,52fe45c5c3a368484e06df25,0,81246,Suzan Farmer,3,/qq0jLhJWYWkbBVhRbI61nrE4tWt.jpg
6,Merwyn,52fe45c5c3a368484e06df2f,0,100790,Terence De Marney,4,
7,Dr. Henderson,52fe45c5c3a368484e06df33,2,2264,Patrick Magee,5,/32ReETRLWtjg4eQO1SRhJsn8aSE.jpg
8,Jason,52fe45c5c3a368484e06df37,0,2273,Paul Farrell,6,/tOSOdVUQSNtnhzqVLgh5TcMA1Bf.jpg
9,Potter,52fe45c5c3a368484e06df3b,2,123900,Leslie Dwyer,7,/rdZ6i7t1OxY9VAUnUAmmmUCA8Sr.jpg
10,Pierce,52fe45c5c3a368484e06df3f,2,12693,Sydney Bromley,8,/3uUJyYHgedK6K7BLz5RtZ4xpCjg.jpg
11,Henry,52fe45c5c3a368484e06df43,0,248772,Billy Milton,9,
14,Taxi Driver,52fe45c5c3a368484e06df4b,0,1208202,Harold Goodwin,10,/gLhjtadSsrzrdpYrBhV9mZ4uAs5.jpg
13,Miss Bailey,52fe45c5c3a368484e06df47,1,2276,Sheila Raynor,11,/b4EXxbf8djBOGycwHjXtPijrx2K.jpg
1,Pablo,54acaab09251415646005188,0,1410074,Antonio Buíl,1,
2,Frank,54acaabac3a3682352004ffd,2,90120,Dominique Jann,2,
3,Alice,54acaacb925141183c0006ae,1,54948,Ursina Lardi,3,/qyFN0VlX0Ds1EV9wajiTrvb6nzX.jpg
4,Monica,54acaad2c3a3680c2100af6d,0,1128290,Linda Olsansky,4,
5,Robert,54acaadd925141564600518f,0,1410075,Nicolas Rosat,5,
2,Abby Reed,52fe4d45c3a36847f8257e01,1,7634,Pamela Sue Martin,0,/rAuSHKyyrIsixRPyNZONKdySW9l.jpg
11,Michael,5394639dc3a3686446002c6a,2,40550,Parker Stevenson,1,/qTlEGa4TDNVPajiDcQoyrgloiyK.jpg
4,Muffy,52fe4d45c3a36847f8257e09,0,196511,Betsy Slade,2,
5,Malcolm,52fe4d45c3a36847f8257e0d,0,152289,George O'Hanlon Jr.,3,
6,Laura,52fe4d45c3a36847f8257e11,1,536802,Karen Balkin,4,
10,Headmaster,52fe4d45c3a36847f8257e1d,2,1217752,Roderick Cook,5,
8,Frank,52fe4d45c3a36847f8257e15,2,13729,Robert Walden,6,/y2aZeeJt6OavPVaSz9kxhX93WTp.jpg
9,Biology teacher,52fe4d45c3a36847f8257e19,1,85838,Hope Summers,7,/1IY7GQ3Z84647KnEPAWRJhqdzTO.jpg
2,Yuan Ying Fei the Golden Sword,52fe4aab9251416c750ea15d,0,1114203,Lu Feng,0,/qhfHkrXLpGb6BfCHVtT5RVqoA4f.jpg
3,He Fei,52fe4aab9251416c750ea161,0,119655,Chiang Sheng,1,/k8NahzKLYZBw3oEjVQWdDAilQq9.jpg
6,Yang Zhui Feng,52fe4aab9251416c750ea16b,0,229303,Philip Kwok Chun-Fung,2,/jJQcQbzi4GUyPpE9IKX9txO2sfc.jpg
8,Feng Jia Ji,52fe4aab9251416c750ea175,0,240151,Sun Chien,3,/28CiaFsCxYuMielK9uVaBWuaeSC.jpg
9,Guan Yun,557bb62992514153a4000d25,2,240155,Lo Meng,4,/z30GjJKIHaWjn9Zh2ONfjMh4aFr.jpg
10,Guan San,557bb6b0c3a368632f000d2b,0,1415777,Annie Liu On-Lai,5,
11,Zeng Qiao,557bb76292514153a7000d41,0,1114834,Wong Lik,6,/vtrUaF66UxmctAn8i7RFEsks71F.jpg
12,Waiter,557bb943c3a368631a000dd5,0,1135162,Lau Fong-Sai,7,
13,Cashier Wang,557bba7092514153b0000cef,2,1134505,Wong Ching-Ho,8,/u09nURnh4QePg69BQJqIHiuCDTW.jpg
14,Chief Li,557bbce792514153a4000dfd,0,1114835,Yu Tai-Ping,9,/msBgaM2pf7OsmbkR8wG5O9bWlYx.jpg
16,Chen Qing,557bc052c3a368631d000d79,0,1196099,Lam Chi-Tai,10,
1,Severus (voice),52fe4812c3a36847f8156e2d,2,28641,Terence Stamp,0,/fyGkLjgVfyKIPBaMQs5Df3gMuOV.jpg
2,Carnak,52fe4812c3a36847f8156e31,2,5049,John Hurt,1,/tW6cOElGBdJl8nNrHwL6gvxvdkI.jpg
3,Proteus (voice),52fe4812c3a36847f8156e35,2,28848,Sean Pertwee,2,/mHNlvnrlFvNddFY6isD0S40lAIu.jpg
4,Verenor (voice),52fe4812c3a36847f8156e39,2,27764,Steven Waddington,3,/ouQIklNVVkqlW1Htujmptm2qTen.jpg
5,Pythol (voice),52fe4812c3a36847f8156e3d,2,20425,Donald Sumpter,4,/gqNTtHmpiUs4bbGhHTNPSJUR6ZW.jpg
14,Nidon (voice),52fe4812c3a36847f8156e65,2,32300,Johnny Harris,5,/kYbDDsxOltXn6VFW7XaZ9l7sNbj.jpg
7,Crastor (voice),52fe4812c3a36847f8156e41,2,145166,Ben Bishop,6,
8,Boreas (voice),52fe4812c3a36847f8156e45,0,145167,Christopher Finney,7,
9,Hypax (voice),52fe4812c3a36847f8156e49,2,145168,Gary Martin,8,
3,Johnny Crown / Johnny Alt,52fe492d9251416c910a51e1,2,5724,Denis Leary,0,/lnk4HjUeqDlT6Kg9PaQsVIDpl56.jpg
4,Frank Gavilan / Frank Cassady / Richard Essex,52fe492d9251416c910a51e5,2,3266,Joe Mantegna,1,/vd83KyKwcNrxd6EDcezGv16xhsL.jpg
5,Dr. Leah,52fe492d9251416c910a51e9,1,18750,Annabella Sciorra,2,/2rhrUQbnRLI5hS0nZSvtmFHCf2M.jpg
6,Ned Lynch,52fe492d9251416c910a51ed,2,34721,Larry Bishop,3,/blmoGBCRnKtkatY4F6aB7uCfWzz.jpg
7,Will Cassady,52fe492d9251416c910a51f1,2,3093,Abe Vigoda,4,/sLJWfb20jRJRXrJB3tnL2RMD4A2.jpg
9,Anna,52fe492d9251416c910a51f5,1,10826,Traci Lords,6,/40n1G3p2sGxnsU0m8tfIlthMatA.jpg
10,Stan,52fe492d9251416c910a51f9,2,33492,Robert Costanzo,7,/vyUeNk56Yv7xyHztgVa8UBEIasu.jpg
1,Britt Reid / Green Hornet,52fe45a4c3a36847f80d257f,2,19274,Seth Rogen,0,/3U9s4dvXQuk1l3ZT3MqwqpmeRqI.jpg
5,Kato,52fe45a4c3a36847f80d258f,2,17380,Jay Chou,1,/g2fvgW2IVgLHt988eYoAl0REILQ.jpg
3,Chudnofsky,52fe45a4c3a36847f80d2587,2,27319,Christoph Waltz,2,/2Hhztd4mUEV9Y25rfkXDwzL9QI9.jpg
2,Lenore Case,52fe45a4c3a36847f80d2583,1,6941,Cameron Diaz,3,/ahFkUN9Sm8oF1txUHE5JcJ95Ere.jpg
4,Tupper,52fe45a4c3a36847f80d258b,2,820,Edward Furlong,4,/o7x6XcLSZSJygjYKLMcElEehmkr.jpg
6,James Reid,52fe45a4c3a36847f80d2593,2,207,Tom Wilkinson,5,/4mxZKgdem0sQ8hJd0Y7TREwq7TJ.jpg
7,Michael Axford,52fe45a4c3a36847f80d2597,2,587,Edward James Olmos,6,/i7zKqsFqL5L1HPmAMeSA1xZzlD5.jpg
8,Anna Lee,52fe45a4c3a36847f80d259b,1,124644,Analeigh Tipton,7,/oFTEyLJykoAWtUOT9RPKco3F1FJ.jpg
9,Chili,52fe45a4c3a36847f80d259f,2,124645,Chad L. Coleman,8,/soxBAVJOM5qzN7nS78UGzaWNdCv.jpg
10,Politician,52fe45a4c3a36847f80d25a3,2,35172,Robert Clotworthy,9,/m4poS8cn91Gz2uxSRqve5xrgkGI.jpg
27,Police Officer,56d6289a925141719e00270a,2,156415,Billy Mayo,10,/1lFzfG8q0hxO5vhpbQt9p5irXru.jpg
28,Danny Crystal Cleer,578c09d2c3a3685acb003e1f,2,17051,James Franco,11,/nEkRVYr3l3ud8cUZUh9mHMEiUdl.jpg
29,Chauffeur,57dd7554925141784c0005ea,2,1680739,George Fisher,12,/gLwjmZnQyWP5PyY6zDRu357yohT.jpg
1002,Riyo,52fe440b9251416c91003051,1,16145,Youki Kudoh,0,/z3q5PBIS1hvt8a3Pxqf5mWWfSOP.jpg
1005,Matsuji Kimura,55aead659251411e1100b479,0,1333696,Akira Takayama,1,/wxPcSoz4KThwbwE3fnEPJCNBRGj.jpg
1004,Kana,55aead4c9251411e0f00b202,1,3134,Tamlyn Tomita,2,/iX6zGWXFWLdUnxaVebXGzXXwgft.jpg
1003,Kanzaki,52fe440b9251416c91003055,2,11398,Cary-Hiroyuki Tagawa,3,/6KLAW9vcrI1FLLLrTAm0obL4qxc.jpg
1006,The Benshi,55aeadb5c3a368648e009818,2,7450,Toshirō Mifune,4,/32nCFJneAfmZxYTQsaF5bcmCB7e.jpg
1007,Aunt Sode,55aeae0fc3a368246c0057b1,0,136380,Yôko Sugi,5,/9Ate1BkWaRuWSBYF7tC3G8MbuAZ.jpg
1024,Miss Pieper,586183e192514115be0339ef,0,1728269,Christianne Mays,6,
1,Jeremy Lewis,52fe464d9251416c75074073,2,7026,Rhys Ifans,0,/p0rbwzc4Yj2oHW0iiln0X0Wx9EK.jpg
8,Julian Lewis,52fe464d9251416c75074087,2,147877,Llŷr Ifans,1,/tCraL9aJP6tsSJsDjXySADT0wmE.jpg
4,Terry Walsh,52fe464d9251416c75074077,2,15336,Dougray Scott,2,/zeZmtK4EKK9R2r6bp2nTxMs3ByS.jpg
9,Greyo,52fe464d9251416c7507408b,0,585957,Dorien Thomas,3,
10,Mr. Mort,52fe464d9251416c7507408f,0,585958,Ronnie Williams,4,
11,Taxi Driver,52fe464d9251416c75074093,0,585959,Paul Durden,5,
12,Television Presenter,52fe464d9251416c75074097,2,36083,Kevin Allen,6,/be76iefw66VcgYUkWmHUCypM0PM.jpg
13,Dai Rees,533574f09251414463004345,2,67215,Brian Hibbard,7,/ktjhdIq5b6P8HveT6kof3HoLnsA.jpg
25,Lucy Cartwright,58af001e9251410b33007c13,1,1120606,Sue Roderick,8,/xwh9JbMh36ZymCusvnqYvHey9CQ.jpg
26,Hunky,593bb6c3c3a3680f4200acf1,2,143892,Steffan Rhodri,9,/4bptQdwRKCMveddkpZdCvDwcsHQ.jpg
5,Hans Epp,52fe43569251416c7500c8e3,0,48187,Hans Hirschmüller,0,
6,Irmgard Epp,52fe43569251416c7500c8e7,1,2729,Irm Hermann,1,/uptdP1km7K5J27MQCQXEVmsTuMJ.jpg
7,"Anna Epp, Hans's sister",52fe43569251416c7500c8eb,1,3734,Hanna Schygulla,2,/rlM0TCA5NNLQ9SwP4Cn4PhmaGgy.jpg
8,"Renate Epp, Hans's daughter",52fe43569251416c7500c8ef,1,10625,Andrea Schober,3,
9,Harry,534f8f95c3a3681cdd00092f,2,9927,Klaus Löwitsch,4,/yYXgYmh4HxSGsUO8q3ijWnOlf6d.jpg
10,Kurt,534f8fa7c3a3681cae0008c4,2,21997,Kurt Raab,5,/wVtzUW8bi4Xmupsjoms369qjIKG.jpg
11,die große Liebe,534f8fb6c3a3681cdd000932,1,45195,Ingrid Caven,6,/lTgtHMJoUVYd9zmak0WvhzeGHOE.jpg
12,Polizei-Vorgesetzter,534f8fc5c3a3681cdd000934,2,1865,Hark Bohm,7,/ptmIE7lSIiCS6mlXHOz3WgT7D43.jpg
13,Karren-Verkäufer,534f8fd2c3a3681ccc000984,0,2741,Walter Sedlmayr,8,/9cESnCVgyYbWnJzLEMkyyqm6G1U.jpg
14,Kundin,534f8fe2c3a3681ce50008d3,1,2740,Lilo Pempeit,9,/6x2TXUeJvyiaVuKuvUCSdscDF3Z.jpg
15,Araber,534f8ff7c3a3681cb500094c,2,2727,El Hedi ben Salem,10,
16,weiterer Stammtisch-Bruder,534f9007c3a3681cdd00093a,2,920,Jürgen Prochnow,11,/aar3n9NEQdwWVvPOne3kLLXm75N.jpg
1,Inspector Frank Hughes,52fe4f29c3a36847f82c1c8d,2,20959,"Louis Gossett, Jr.",0,/ggWZg5ADOjhMLqfr9canl7gNTGD.jpg
2,Inspector Alex Urbina,52fe4f29c3a36847f82c1c91,2,55265,Jonathan Silverman,1,/khx8B9Ln5isYyag7gG48DogOHHx.jpg
3,Lauren Urbina,52fe4f29c3a36847f82c1c95,1,25383,Samantha Ferris,2,/lr0y615PLYdQrN8wvsYJGy5zeCf.jpg
4,Skell,52fe4f29c3a36847f82c1c99,2,42711,Ty Olsson,3,/4cXAEMnYNjSOaI9stdSWfhNn49A.jpg
3,Thea Winkelmann,52fe46fcc3a368484e0aef3f,1,8742,Ingrid Thulin,0,/8YvwsZfcvrKugvx9GFidhbqMscz.jpg
4,Sebastian Fisher,52fe46fcc3a368484e0aef43,0,6664,Anders Ek,1,
5,Hans Winkelmann,52fe46fdc3a368484e0aef47,2,6649,Gunnar Björnstrand,2,/AiGcTLr6uQXjtKxh2CMOOIfXEW1.jpg
6,Judge Dr. Abrahamson,52fe46fdc3a368484e0aef4b,2,240400,Erik Hell,3,/7rxg9zxBtQjNDKBPfiGdyIqeRBt.jpg
7,Priest,52fe46fdc3a368484e0aef4f,2,6648,Ingmar Bergman,4,/rHYYP3N2ivz6WTuTHsLX58Gab7G.jpg
2,Dr. Squires,52fe45bf9251416c75061283,2,2282,Ben Kingsley,0,/2Eu3j31JDJek70ZXLY6xfeUaJoR.jpg
3,Kristin Squires,52fe45bf9251416c75061287,1,10696,Famke Janssen,1,/9wHWq6Mnfpn8L1diMxjr26ReZWl.jpg
4,Luke Shapiro,52fe45c09251416c7506128b,2,15760,Josh Peck,2,/MliTSjRnt2WMsFKQqEFLmOff8b.jpg
5,Stephanie,52fe45c09251416c7506128f,1,52442,Olivia Thirlby,3,/kDzFwMc2WZZQD3No2ULn3G8Sj42.jpg
6,Union,52fe45c09251416c75061293,1,67849,Mary-Kate Olsen,4,/fxTJRxHrNyZVrWZWQZOTXJnGwDY.jpg
7,Eleanor,53c1b5d80e0a261582009d49,1,209,Jane Adams,5,/HbQfL01xmV1psnh0WvldIBzDg3.jpg
8,Percy,53c1b5ec0e0a26157f009ef5,2,5384,Method Man,6,/3LXIZTItw2fnA8gdBLJPLXg0DEC.jpg
9,Justin,53c1b6020e0a261582009d4b,2,54247,Aaron Yoo,7,/fL5SEE5RSac93swa5fXjhA2Hhw5.jpg
10,Mrs. Shapiro,53c1b6160e0a261579009b15,1,140253,Talia Balsam,8,/4adzNEL8GD9lKlxWDlnuKcp37SF.jpg
11,Mr. Shapiro,53c1b62c0e0a261585009abc,2,92811,David Wohl,9,
12,Grandpa Shapiro,53c1b6420e0a261576009f2d,2,19889,Bob Dishy,10,/g4pWDvBoJ5kn61sAL2lpobqsbnu.jpg
13,Grandma Shapiro,53c1b6560e0a26157f009f05,1,11903,Joanna Merlin,11,/dOpsuxqXwfix8rVWjfSgHkgK09l.jpg
14,Bodyguard #1,53c1b66a0e0a26158f009719,0,1340888,Shannon Briggs,12,
15,Homeless Man,53c1b6800e0a261576009f34,0,203757,Roy Milton Davis,13,/1rY0lUO6ixBaMqFjAfuBfmzxRAU.jpg
16,Kid in Bar,53c1b6960e0a261579009b23,0,1340889,Alexander Flores,14,/pX9QnHPWBfCtecdRdeMoLBYWE73.jpg
4,Dr. Lawrence Gordon,52fe4223c3a36847f8006c65,2,2130,Cary Elwes,0,/wmvYoJHStQeQzrpqOM9tkvf1wwF.jpg
5,Detective David Tapp,52fe4223c3a36847f8006c69,2,2047,Danny Glover,1,/jSNTEnm0Sxm8FRtoBfJmhmQyozH.jpg
14,Alison Gordon,52fe4223c3a36847f8006c8d,1,2140,Monica Potter,2,/eHLvw07VvLiqDkacrsMhMj2lNzp.jpg
10,Zep Hindle,52fe4223c3a36847f8006c7d,2,2136,Michael Emerson,3,/ffl164K7YJMMFCCxhWP7kWU7sOn.jpg
6,Detective Steven Sing,52fe4223c3a36847f8006c6d,2,2131,Ken Leung,4,/kftJqCNab1x5W29b46rLUeXkwZi.jpg
18,John Kramer (a.k.a. Jigsaw),52fe4223c3a36847f8006c9d,2,2144,Tobin Bell,5,/vbu4iHKY46zJ6K8B5jGJxB1ffp4.jpg
3,Adam,52fe4223c3a36847f8006c61,2,2128,Leigh Whannell,6,/18dtzbzEGkyHC7AjgDZY15F7X7q.jpg
7,Kerry,52fe4223c3a36847f8006c71,1,2133,Dina Meyer,7,/a208ijs7X3u8lPzKWHeXSp3PiMd.jpg
8,Paul,52fe4223c3a36847f8006c75,2,2134,Mike Butters,8,/vinnp0V36UVVoMIEKaV6T1pzzhe.jpg
9,Mark,52fe4223c3a36847f8006c79,2,2135,Paul Gutrecht,9,/jAv8rTrhNtbxKK4t0QlpVP9gtBW.jpg
11,Brett,52fe4223c3a36847f8006c81,2,2137,Benito Martinez,10,/a48HN0oeXQsqzsTsEnrvqt30570.jpg
12,Amanda,52fe4223c3a36847f8006c85,1,2138,Shawnee Smith,11,/yx1HYEalFsiNVc2imDDfhIZthkn.jpg
13,Diana Gordon,52fe4223c3a36847f8006c89,1,2139,Makenzie Vega Norfolk,12,/37qDxWqCbDxRyGBcPTjlYLm4XuG.jpg
15,Jeff,52fe4223c3a36847f8006c91,2,2141,Ned Bellamy,13,/aPAsdVFewZK3ldhvrL1ea2VUkUK.jpg
16,Carla,52fe4223c3a36847f8006c95,1,2142,Alexandra Bokyun Chun,14,/i72slFKdMGXOv4aTUBKKOlXLmAM.jpg
17,Father,52fe4223c3a36847f8006c99,2,2143,Avner Garbi,15,/z6JOoMQX0dXmrSup9s0c5xh7GA4.jpg
44,Detective (uncredited),57526e89c3a368521b00197e,2,1630461,Hans Raith,16,/sRMnCc9RnMXa2Snn3gmOF5ofRCZ.jpg
9,Salih,54a71342c3a3683bae000cb0,0,150622,Sümer Tilmaç,0,/6j5fBjcLvXaJVZNjC2KNiqWOJ8I.jpg
6,Murat,54a710e0925141212700e186,0,145328,Mehmet Ali ALABORA,1,/9YfB4WRnzwTlwj0xTdwOlLt7AA4.jpg
1,Bahattin,54a71046925141212700e173,0,145367,Peker Açıkalın,2,/y78X7QDcOkygZeyW8EuQPIovK3h.jpg
3,Kamil,54a710679251411a52001996,0,147046,Cengiz Küçükayvaz,3,/oxh8UgltAE3S7ZicuwCNYREctEH.jpg
5,Tezcan,54a710b1c3a3686428008618,0,143303,Şafak Sezer,4,/z6hoNbYAmwgaWSHJ0poBIA5vkpv.jpg
7,Zeki,54a7128a925141212700e1ad,0,1408008,Melih Ekener,5,
8,Taksici,54a712b4c3a3682f1b01795b,0,1407795,Ceyhun Yılmaz,6,
10,Avukat,54a713889251411a520019b6,0,1259587,Nejat Birecik,7,
2,Lab Tech,52fe46b1c3a368484e09eb2f,0,550850,Bob Angelini,0,
3,Dr. William Lemmon,52fe46b1c3a368484e09eb33,0,550851,Bern Cohen,1,/htxLKtZ33fxs6cHFK8Mw65ScteY.jpg
4,Stephanie LaFarge,52fe46b1c3a368484e09eb37,0,550852,Reagan Leonard,2,
4,Mike,52fe463f9251416c7507220f,2,6474,James Le Gros,0,/rqBjmSkcRGwtwpb2tTjGcqLtKyG.jpg
